Concept,Form,Concept Count No Idioms,Form Count No Idioms,Idiom Concept Count,Idiom Form Count,Concept Count,Form Count,Smoothed Concept Given Concept Forms
mouwen_MOUWEN,mouwen,663,663,11,16,668,679,0.9837997054
uitslag_HUID,uitslag,197.7,1977,,,198,1977,
sleutel_SLOT,sleutel,1539,1539,,,1539,1539,
prijzen_PRIJZEN_WW,prijzen,0,14014,,,0,14014,
wet_WET,wet,9284,9284,12,19,9291,9303,0.9987100935
grapje_GRAPJE,grapje,536,536,,,536,536,
baas_BAAS,baas,2338,2338,,,2338,2338,
kaak_KAAK,kaak,277.5,555,,,278,555,
wreed_GEWELDDADIG,wreed,384.75,405,,,385,405,
afwijzen_AFWIJZEN,afwijzen,1258.75,1380,,,1259,1380,
keuze_KEUZE,keuze,9534,9534,,,9534,9534,
lijn_GEOMETRIE,lijn,4102,5860,13,27,4116,5887,0.6991676576
druppel_WATER_ZSTNW,druppel,779.95,821,,,780,821,
achtervolgen_ACHTERNAZITTEN,achtervolgen,356,356,,,356,356,
bekwaam_BEKWAAM,bekwaam,292,292,,,292,292,
eetkamer_EETKAMER,eetkamer,96,96,,,96,96,
ingewanden_INGEWANDEN,ingewanden,150,150,,,150,150,
schoenen_SCHOENEN,schoenen,2728,2728,78,78,2728,2806,0.9722024234
hetzelfde_HETZELFDE,hetzelfde,20165,20165,,,20165,20165,
staart_DIER,staart,1024.25,1205,,,1024,1205,
huid_HUID,huid,3658,3658,17,19,3660,3677,0.9953766658
hoed_PET,hoed,576,720,,,576,720,
boffen_BOFFEN,boffen,77.6,97,,,78,97,
enkels_ENKELS,enkels,0,9609,,,0,9609,
wolken_WOLKEN,wolken,1240,1240,1,3,1242,1243,0.9991954948
beheerst_RUSTIG_HOUDEN,beheerst,163.8,819,,,164,819,
koel_KOUD,koel,970,970,62,65,973,1035,0.9400966184
benen_LEDMATEN,benen,4602,4602,,,4602,4602,
makkelijk_MAKKELIJK,makkelijk,6321,6321,,,6321,6321,
verf_ZSTNW,verf,1080,1080,,,1080,1080,
klus_OPDRACHT,klus,894.75,1193,,,895,1193,
lint_LINT,lint,351.5,370,,,352,370,
vloeistof_VLOEISTOF,vloeistof,822,822,,,822,822,
schaamte_SCHAAMTE,schaamte,448,448,,,448,448,
onweer_ONWEER,onweer,351.05,413,,,351,413,
zuinig_ZUINIG,zuinig,645,645,,,645,645,
