,CONCEPT,FORM,RATIO,CONCEPT V2,FORM V2,RATIO V2,LIT RT,FIG RT,FIG MINUS LIT,FAMILIARITY
met de rug tegen de muur staan,19,22,0.8636363636,12,13,0.9230769231,521.7522758621,487.5470344828,-34.2052413793,3.14
iemand aan de tand voelen,51,51,1,8,8,1,597.4270833333,488.7004827586,-108.7266005747,3.48
op het puntje van de tong liggen,3,3,1,2,2,1,522.8185357143,499.9071034483,-22.911432266,4.1
ergens mee in de maag zitten,25,26,0.9615384615,23,24,0.9583333333,663.1808518519,503.2776296296,-159.9032222223,3.48
iets tot in de wolken verheffen,1,3,0.3333333333,1,2,0.5,547.87188,511.9246296296,-35.9472503704,2.35
voor iemand door het vuur gaan,20,22,0.9090909091,14,14,1,619.0474444444,521.7992592593,-97.2481851851,4.23
als paddenstoelen uit de grond schieten,11,11,1,10,10,1,595.3246551724,523.2512333333,-72.0734218391,2.75
iemand op de huid zitten,17,19,0.8947368421,7,7,1,517.7569642857,530.9615384615,13.2045741758,3.43
aan het roer staan,35,41,0.8536585366,10,10,1,546.0268571429,532.33975,-13.6871071429,3.65
de koe bij de hoorns vatten,3,3,1,1,1,1,553.47525,534.3951724138,-19.0800775862,2.87
iets op poten zetten,74,76,0.9736842105,6,7,0.8571428571,677.549,537.8426206897,-139.7063793103,2.58
voor aap staan,11,11,1,8,8,1,592.1563448276,547.9830666667,-44.1732781609,4.52
iemand de wet voorschrijven,12,19,0.6315789474,1,2,0.5,553.4766785714,553.179,-0.2976785714,3.54
het niet breed hebben,45,45,1,24,24,1,625.2101153846,555.5593928571,-69.6507225275,4.29
iemand wakker schudden,92,98,0.9387755102,13,16,0.8125,574.9191034483,560.8392068966,-14.0798965517,3.67
op zijn centen zitten,3,3,1,1,1,1,525.4941071429,563.9996206897,38.5055135468,2.9
iets van tafel vegen,69,76,0.9078947368,16,17,0.9411764706,531.2311724138,574.9031071429,43.6719347291,3.33
tussen twee vuren zitten,6,6,1,6,6,1,627.2910357143,578.1768214286,-49.1142142857,2.71
ergens zijn neus voor optrekken,26,26,1,20,20,1,561.4231153846,580.2026333333,18.7795179487,3.67
iemand iets in de schoenen schuiven,78,78,1,10,10,1,483.24,583.5396923077,100.2996923077,3.83
geen hart in het lijf hebben,1,1,1,1,1,1,517.1617142857,583.84175,66.6800357143,
aan een zijden draadje hangen,28,29,0.9655172414,19,19,1,589.49325,583.86904,-5.62421,3.36
iets uit je duim zuigen,60,60,1,8,8,1,531.3776296296,584.117137931,52.7395083014,4.38
het hoofd koel houden,62,65,0.9538461538,18,19,0.9473684211,537.9797666667,585.0278571429,47.0480904762,
iets uit de losse pols doen,2,2,1,1,1,1,532.0386785714,601.934137931,69.8954593596,3.3
iemand tegen de schenen schoppen,11,12,0.9166666667,2,2,1,504.3646153846,607.0518571429,102.6872417583,3.05
de mouwen opstropen,11,16,0.6875,6,11,0.5454545455,586.6268518519,608.2545172414,21.6276653895,
